/Users/demir/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2025-09-15 12:49:05,069 - INFO - Processing product 22/60: Moisture Replenishing Hyaluron Cream 50 ml
2025-09-15 12:49:05,070 - INFO - Fetching: https://nurederm.com/urun/moisture-replenishing-hyaluron-cream-50-ml
2025-09-15 12:49:05,221 - INFO - Downloaded: Moisture-Replenishing-Hyaluron-Cream-50-ml-1.jpg
2025-09-15 12:49:05,242 - INFO - Downloaded: Moisture-Replenishing-Hyaluron-Cream-50-ml-2.jpg
2025-09-15 12:49:05,286 - INFO - Downloaded: Moisture-Replenishing-Hyaluron-Cream-50-ml-3.jpg
2025-09-15 12:49:05,340 - INFO - Downloaded: Moisture-Replenishing-Hyaluron-Cream-50-ml-4.jpg
2025-09-15 12:49:05,393 - INFO - Downloaded: Moisture-Replenishing-Hyaluron-Cream-50-ml-5.jpg
2025-09-15 12:49:06,398 - INFO - Processing product 23/60: MVC (Multi Vita Radiance Cream) 50 ml
2025-09-15 12:49:06,398 - INFO - Fetching: https://nurederm.com/urun/mvc-multi-vita-radiance-cream-50-ml
2025-09-15 12:49:06,553 - INFO - Downloaded: MVC-Multi-Vita-Radiance-Cream-50-ml-1.jpg
2025-09-15 12:49:06,576 - INFO - Downloaded: MVC-Multi-Vita-Radiance-Cream-50-ml-2.jpg
2025-09-15 12:49:06,647 - INFO - Downloaded: MVC-Multi-Vita-Radiance-Cream-50-ml-3.jpg
2025-09-15 12:49:06,714 - INFO - Downloaded: MVC-Multi-Vita-Radiance-Cream-50-ml-4.jpg
2025-09-15 12:49:06,778 - INFO - Downloaded: MVC-Multi-Vita-Radiance-Cream-50-ml-5.jpg
2025-09-15 12:49:07,784 - INFO - Processing product 24/60: HSC (Hydro Soothing Cream) 250 ml
2025-09-15 12:49:07,784 - INFO - Fetching: https://nurederm.com/urun/hsc-hydro-soothing-cream-250-ml
2025-09-15 12:49:08,033 - INFO - Downloaded: HSC-Hydro-Soothing-Cream-250-ml-1.jpg
2025-09-15 12:49:08,053 - INFO - Downloaded: HSC-Hydro-Soothing-Cream-250-ml-2.jpg
2025-09-15 12:49:08,098 - INFO - Downloaded: HSC-Hydro-Soothing-Cream-250-ml-3.jpg
2025-09-15 12:49:08,147 - INFO - Downloaded: HSC-Hydro-Soothing-Cream-250-ml-4.jpg
2025-09-15 12:49:08,195 - INFO - Downloaded: HSC-Hydro-Soothing-Cream-250-ml-5.jpg
